min_cost_per_person,max_cost_per_person,time_stayed_in_days,travel_place,traveled_from,travel_month,hotel_name,did_you_like_the_hotel,recommended_restaurant,did_you_like_the_restaurant
3400,6400,4.0,sajek valley,brahmanbaria ,august,jumghor eco resort,yes,eni lushai cottage & restaurant,yes
3300,4200,2.0,bichanakandi,cox's bazar ,january,bichanakandi resort,yes,Palace Food Court,yes
5200,7200,2.0,tanguar haor,barishal,june,Hill Hill,yes,Traditional Diner,no
1500,3100,1.0,mahasthangarh,gazipur,january,momo inn,yes,casuarina,yes
1500,2700,1.0,paharpur buddhist vihara,thakurgaon,february,hotel naz garden (bogura),no,hotel al-razzaque & restaurant,yes
2200,5400,2.5,rangamati,brahmanbaria ,february, hotel green castle,yes,gang sabarang,yes
1500,2400,1.0,mahasthangarh,pabna,january,Palace Hill,yes,Spice Restaurant,yes
5100,6200,2.0,tanguar haor,brahmanbaria ,april, houseboats,yes,Taste Hotel and Restaurant,no
5000,6100,4.0,bandarban, gazipur ,january,Resort Hill,yes,hill's dine,no
7300,8900,2.0,bichanakandi,dhaka ,november,Grand Hill,no,Palace Food Court,no
1500,3200,1.0,panam city sonargaon, dhaka ,september,Hill Resort,no,pan pacific sonargaon dhaka,yes
6800,8200,3.5,jaflong,sylhet,december,Sea View,no,Family Cafe,yes
6000,7400,1.0,bichanakandi,kishoreganj ,january,Golden Inn,no,Palace Diner,no
3200,7800,8.0,saint martins island, chattogram ,october,Royal Hill,no,narikel jinjira restaurant,no
3500,5500,1.0,saint martins island, dhaka,april,dream night resort,yes,Paradise Diner,no
3200,5600,5.0,bandarban,chittagong,march, nilgiri resort,no,kalapata restaurant,yes
1500,2200,1.0,mahasthangarh,sirajganj,january,Palace Hill,yes,Traditional Hotel and Restaurant,yes
4200,5200,2.0,tanguar haor,brahmanbaria ,september, houseboats,yes,Palace Diner,no
4500,5600,4.5,bandarban,chittagong ,august,chimbuk hill resort,no,Taste Restaurant,yes
7500,9000,1.5,bichanakandi,dhaka,september,bichanakandi resort,yes,Palace Food Court,yes
6400,8300,2.5,rangamati,gazipur ,september,hotel green castle,no,Taste Food Court,yes
1500,5500,3.5,kuakata,tangail,october,hotel sea orchid,yes,Palace Kabab House,yes
4500,8200,2.5,sajek valley,mymensingh ,september, meghpunji resort,yes,fudanki restaurant,no
1500,2800,1.0,paharpur buddhist vihara,joypurhat ,june,hotel touch & go,yes,Palace Cafe,no
1500,2600,1.0,paharpur buddhist vihara,dhaka,april,hotel touch & go,yes,Spice Hotel and Restaurant,yes
2100,5600,5.0,jaflong,joypurhat ,november,Golden Palace,yes,sinbad restaurant,yes
6700,8400,1.0,bandarban,ashulia ,may,Resort Hill,yes,tohzah restaurant,yes
2200,6900,1.5,rangamati,jashore ,april,Palace Resort,yes,peda ting ting restaurant,yes
2200,8200,1.5,rangamati,dhaka,october,hotel green castle,no,Taste Food Court,yes
1500,2200,1.0,paharpur buddhist vihara,dhala,february,hotel touch & go,no,Spice Hotel and Restaurant,yes
3100,3800,4.5,kuakata,barishal,march,Golden View,yes,Golden Restaurant,yes
2000,7500,3.5,sajek valley,barishal,november, ruilui resort,yes,Spice Kabab House,yes
1500,2300,1.0,paharpur buddhist vihara, dhaka ,february,hotel touch & go,no,hotel al-razzaque & restaurant,yes
2200,10000,4.0,rangamati,rajshahi ,december,Palace Resort,no,Family Cafe,yes
1500,2900,1.0,mahasthangarh,sirajganj,november,Grand Resort,yes,Spice Restaurant,yes
1500,3000,1.0,mahasthangarh,jashore ,january,Grand Resort,yes,Taste Kabab House,yes
3100,4000,2.5,rangamati,rajshahi ,december, hotel green castle,no,chang pang restaurant,yes
1500,3500,1.0,mahasthangarh,sirajganj,june,Resort International,yes,Taste Kabab House,yes
5400,7400,3.5,rangamati,dhaka ,september, hotel green castle,yes,gang sabarang,no
2200,7100,2.5,rangamati,rajshahi ,may,Palace Resort,yes,Family Cafe,no
4500,7100,3.0,sajek valley,rajshahi ,january,jumghor eco resort,yes,Spice Kabab House,no
2100,3700,3.5,bandarban,cox's bazar ,september,nilgiri resort,yes,Taste Restaurant,yes
4000,4800,3.5,jaflong,dhaka,july,Sea View,yes,pach_bhai restaurant,yes
3700,7400,5.0,coxs bazar,savar,september,coxs bazar inn,no,kasturi restaurant,yes
1500,3300,1.0,panam city sonargaon,dhaka,july,Hill Garden,no,Palace Hotel and Restaurant,no
6500,7200,1.0,saint martins island,gazipur,november,nil digonte resort,no,st. martin village restaurant,no
1500,2400,1.0,paharpur buddhist vihara,dhaka,may,hotel naz garden (bogura),yes,hotel al-razzaque & restaurant,yes
1500,2600,1.0,paharpur buddhist vihara,dhaka,june,Beach Palace,yes,hotel al-razzaque & restaurant,yes
4800,6700,11.0,saint martins island,jashore,june, hotel blue pearl,yes,flying fish & food restaurant,yes
2400,3500,5.0,lawachara national park,dhala,november,lawachara resort,no,kutum bari restaurant,yes
5200,6400,2.0,rangamati,laxmipur,september,Beach International,yes,Taste Food Court,yes
5600,6600,4.5,rangamati,sirajganj ,october,Hotel Lodge,yes,gang sabarang,yes
4200,6600,6.0,saint martins island,chittagong ,august, hotel blue pearl,yes,flying fish & food restaurant,no
2200,3600,6.0,bandarban,dinajpur ,march,Resort Hill,no,Taste Restaurant,yes
4400,10000,9.0,lawachara national park,barisal,april,Hill View,yes,Spice Kabab House,yes
1500,2900,1.0,paharpur buddhist vihara,dhaka,february,Beach Palace,no,midas restaurant,yes
2200,3400,1.0,ratargul swamp forest,dhaka,november,Royal View,yes,Sea Food Court,yes
4000,5800,3.5,bandarban, dhaka,march,Resort Hill,yes,shwe restaurant,yes
1500,3200,1.0,paharpur buddhist vihara,bike ,july,Beach Palace,no,Palace Cafe,yes
2000,3400,1.5,sitakunda eco park,chittagong ,august,Hotel Hotel,yes,chui jhal beef restaurant,no
2200,3000,1.0,ratargul swamp forest,campus ,november,Green Inn,yes,Paradise Food Court,yes
2700,4100,4.5,rangamati,brahmanbaria ,october,Palace Resort,yes,Family Cafe,yes
1900,10000,4.5,sajek valley,dinajpur ,december,ruilui resort,no,fudanki restaurant,yes
2000,8400,4.5,jaflong,dinajpur ,february,Sea View,yes,Family Cafe,yes
3600,5300,5.0,jaflong,sylhet ,june,Golden Palace,yes,pach_bhai restaurant,yes
2600,3300,4.5,coxs bazar,savar,july,hotel naz garden,no,the seven seas restaurant,yes
6300,8800,2.5,saint martins island,gazipur,september,coral view resort,yes,Paradise Diner,yes
1500,10000,10.0,lawachara national park,dhaka ,december,grand sultan tea resort & golf,yes,Spice Kabab House,yes
1500,2600,1.0,mahasthangarh,barishal ,january,Grand Resort,yes,Taste Kabab House,yes
4700,6200,2.0,tanguar haor,dhaka,june, haor bilash cottage,yes,kichukkhon,no
1800,2600,1.0,sitakunda eco park,dhaka,august,Hotel Hotel,yes,Traditional Hotel and Restaurant,yes
4800,6500,2.0,tanguar haor,brahmanbaria ,august, haor bilash cottage,yes,Taste Hotel and Restaurant,no
6600,9200,1.0,saint martins island,comilla ,december,hotel prince heaven,yes,Traditional Cafe,yes
4800,7500,2.5,bichanakandi,noakhali ,november,Grand Hill,yes,Palace Food Court,no
4100,7000,2.0,tanguar haor,brahmanbaria ,may, houseboats,yes,kichukkhon,no
1700,2900,1.0,sitakunda eco park,dhaka,august,Golden Lodge,yes,zafran restaurant,no
1500,2500,1.0,panam city sonargaon,dhaka,july,Royal Resort,yes,pan pacific sonargaon dhaka,yes
6400,7100,3.0,sajek valley,dinajpur ,december,meghpunji resort,yes,eni lushai cottage & restaurant,no
6600,8600,6.5,saint martins island,chittagong,september,dream night resort,no,Traditional Cafe,yes
4200,5300,4.0,bandarban,jashore ,april,Resort Inn,yes,hill view restaurant,yes
5200,6700,2.0,tanguar haor,brahmanbaria ,august, houseboats,yes,Traditional Diner,no
4200,8600,4.0,sajek valley,savar,february,Palace View,no,Spice Kabab House,yes
3000,3700,2.0,sitakunda eco park,gazipur,april,Hotel Hotel,yes,zafran restaurant,no
1500,2300,1.0,paharpur buddhist vihara,jashore ,june,Beach Palace,no,midas restaurant,no
2200,3700,1.0,ratargul swamp forest, teknaf,november,shah kamal hotel sylhet,yes,Paradise Food Court,yes
7500,9200,3.5,rangamati,laxmipur,november, parjatan holiday complex,no,gang sabarang,no
1500,3400,1.0,paharpur buddhist vihara,joypurhat ,february,hotel naz garden (bogura),yes,midas restaurant,no
3300,4700,1.5,bandarban,chottogram,april,Resort Inn,yes,Royal Restaurant,yes
1500,3400,1.0,panam city sonargaon,dhaka ,july,Hill Garden,no,Taste Cafe,yes
3900,5900,7.5,lawachara national park,dhaka ,november,Beach Palace,yes,Palace Diner,no
5800,6900,9.5,saint martins island,khulna ,october,Palace Hill,yes,flying fish & food restaurant,yes
1500,2300,1.0,mahasthangarh,panchagarh ,january,Resort International,yes,Spice Restaurant,yes
2700,7600,1.0,jaflong,barishal ,april,jaflong tourist lodge,yes,sinbad restaurant,yes
1500,3000,10.0,lawachara national park,dhaka ,december,Beach Palace,no,Spice Kabab House,no
1500,2100,1.0,mahasthangarh,sirajganj,january,momo inn,yes,Taste Kabab House,yes
5900,7700,2.5,bichanakandi,kishoreganj ,april,Golden Inn,yes,Paradise Restaurant,no
3500,4200,3.0,bichanakandi,dhaka,january,Grand Hill,yes,panshi restaurant,yes
6900,8900,2.5,sajek valley, teknaf,june,sajek resort,yes,maruti didi restaurant,no
3800,8300,2.5,sajek valley, gazipur ,october,Palace Hill,yes,fudanki restaurant,no
2600,4600,2.0,sitakunda eco park,dhaka,september,Hotel Hotel,yes,Family Restaurant,no
3200,4700,9.5,saint martins island,cox's bazar ,july,nil digonte resort,yes,Traditional Cafe,no
6000,7900,2.5,rangamati,gazipur ,october,Palace Resort,no,cafe mangal,yes
6300,8000,2.0,kuakata,barisal,june,hotel graver inn international,yes,Golden Restaurant,yes
3600,6300,2.5,bichanakandi,kishoreganj ,january,Grand Hill,yes,Palace Diner,yes
3100,4700,3.0,jaflong,joypurhat ,november, jaflong inn,yes,pach bhai restaurant,yes
4900,5600,3.5,coxs bazar,comilla ,march,the blue pearl hotel,yes,handi,no
1500,3400,1.0,paharpur buddhist vihara,joypurhat ,june,hotel naz garden (bogura),no,hotel al-razzaque & restaurant,no
1500,2000,1.0,paharpur buddhist vihara,dhala,february,Hotel View,yes,midas restaurant,yes
2800,3500,1.0,coxs bazar,chittagong ,july,green house resort,no,the seven seas restaurant,yes
3600,4600,1.5,jaflong,sylhet ,december,jaflong eco resort,yes,pach_bhai restaurant,yes
1500,2200,1.0,paharpur buddhist vihara,joypurhat ,april,Hotel View,no,Spice Hotel and Restaurant,yes
4400,8400,4.5,saint martins island,cumilla,december,Palace Hill,no,narikel jinjira restaurant,yes
4500,5100,4.5,kuakata,kushtia,october,hotel sea coral,yes,marine restaurant and kabab,yes
2200,3300,1.0,ratargul swamp forest,bike ,november,Green Inn,yes,sinbad restaurant,yes
1500,2300,1.0,panam city sonargaon,dhaka,december,Hill Garden,yes,Taste Cafe,no
1500,2900,1.0,paharpur buddhist vihara,dhaka,february,hotel naz garden (bogura),no,midas restaurant,no
2200,3200,4.0,rangamati,rajshahi ,april,Hill Lodge,yes,Family Cafe,no
2600,3700,1.5,sitakunda eco park,chittagong ,august,Hotel Hotel,yes,Family Restaurant,no
1500,7700,3.0,jaflong,sylhet ,january,Sea View,yes,pach bhai restaurant,yes
1500,3000,1.0,paharpur buddhist vihara,"jatrabari,dhaka",february,Beach Palace,yes,Palace Cafe,yes
5000,6300,2.0,saint martins island,panchagarh ,september,hotel prince heaven,yes,narikel jinjira restaurant,yes
1500,3100,1.0,panam city sonargaon,dhaka ,july, (nearby in narayanganj/dhaka) pan pacific sonargaon,yes,pan pacific sonargaon dhaka,no
2900,4400,3.5,bandarban,brahmanbaria,may,nafakhum resort,yes,hill's dine,yes
1500,2900,1.0,panam city sonargaon,dhaka ,march,Hill Garden,no,Taste Kabab House,yes
4900,5700,5.0,jaflong,dhaka,november,jaflong eco resort,yes,sinbad restaurant,yes
4700,6500,1.5,rangamati,rajshahi ,august,Beach International,yes,peda ting ting restaurant,yes
4100,5800,2.0,bandarban,"jatrabari,dhaka",february,hotel green hill,no,chimbuk hill restaurant,no
4100,5400,1.0,bandarban,chottogram,january,hill resort,no,tohzah restaurant,yes
1500,3000,1.0,mahasthangarh, dhaka ,march,Grand Resort,yes,Spice Restaurant,yes
3300,4900,4.5,jaflong,sylhet,january,Golden Palace,yes,jaflong view restaurant,yes
3000,4900,5.0,rangamati,rajshahi ,november,parjatan holiday complex,no,peda ting ting restaurant,no
1500,3500,10.0,lawachara national park,dhaka ,november,Beach Palace,yes,Spice Kabab House,yes
1500,2800,1.0,panam city sonargaon,bandorban ,july, (nearby in narayanganj/dhaka) pan pacific sonargaon,no,Paradise Diner,yes
6200,7400,2.5,bandarban,noakhali ,october,chimbuk hill resort,no,Taste Restaurant,no
1500,2400,1.0,panam city sonargaon,dhaka ,july,sonargaon hotel & resort,no,sonargaon restauran,yes
6900,8300,2.0,coxs bazar,narsingdi ,march,crystal beach resort,no,poushee hotel & restaurant,yes
1900,3100,1.5,sitakunda eco park,chittagong ,september,sitakunda eco resort,yes,zafran restaurant,no
3000,4400,2.0,coxs bazar,narsingdi ,august,mermaid beach resort,yes,senorita beach cafe,yes
4200,5500,5.0,jaflong,dhaka,october,Sea View,yes,Golden Food Court,yes
1500,2400,1.0,paharpur buddhist vihara,joypurhat ,february,Hotel View,yes,hotel al-razzaque & restaurant,yes
5000,6100,2.0,tanguar haor,dhaka,august,Hill Hill,yes,rose garden restaurant,no
5300,7200,3.5,coxs bazar,barishal ,july,the waves cox's bazar,yes,sea lamp beach cafe,yes
3800,5900,2.0,tanguar haor,dhaka,march,Palace Palace,yes,Traditional Diner,no
5200,7200,2.0,tanguar haor,dhaka,december,Palace Palace,yes,Paradise Food Court,no
6800,8100,2.0,sajek valley,dhaka ,september, a-frame cottage sajek,yes,Spice Kabab House,yes
2900,4800,4.0,jaflong,sylhet ,july,Golden Palace,yes,jaflong view restaurant,yes
5400,6900,2.0,bandarban,noakhali ,january, nilgiri resort,yes,hill's dine,no
1500,2600,1.0,mahasthangarh,bike ,may,momo inn,yes,Taste Kabab House,yes
1500,2100,1.0,mahasthangarh,sirajganj,january,Palace Hill,yes,Spice Restaurant,yes
4300,5000,3.0,kuakata,khulna ,november,kuakata holiday inn,yes,kuakata hotel & restaurant,yes
2400,3600,1.0,sitakunda eco park,dhaka,september,(nearby in chattogram) radisson blu chattogram bay view,yes,rajbari restaurant,yes
3000,8900,1.5,bichanakandi,tangail,january,bichanakandi resort,yes,Traditional Food Court,no
6700,7400,6.0,coxs bazar,gazipur,july,taj garden resort,no,kasturi restaurant,yes
2100,4100,5.0,kuakata,gazipur ,june,Green Palace,yes,Golden Hotel and Restaurant,yes
1500,2300,1.0,panam city sonargaon,dhaka,december,sonargaon hotel & resort,yes,Taste Kabab House,yes
5800,10000,8.5,lawachara national park,dhaka ,december,lawachara resort,no,Palace Diner,yes
1900,3600,1.0,sitakunda eco park,chittagong ,august,Hotel Hotel,yes,zafran restaurant,yes
1900,3800,1.5,sitakunda eco park,sylhet,january,sitakunda eco resort,yes,rajbari restaurant,no
5900,6800,1.5,bichanakandi,kishoreganj ,july,Golden Inn,yes,Palace Food Court,no
2600,4400,1.5,sitakunda eco park,mymensingh ,august,Golden Lodge,yes,Traditional Hotel and Restaurant,no
1500,3200,3.5,jaflong,sylhet,june,Golden Palace,yes,pach_bhai restaurant,yes
2000,10000,3.0,coxs bazar,faridpur ,may,royal tulip sea pearl beach resort,yes,kasturi restaurant,yes
4500,5100,2.0,saint martins island,chittagong,october,Palace Hill,yes,flying fish & food restaurant,no
5400,6200,3.5,sajek valley,savar,march, meghpunji resort,no,Royal Restaurant,no
1500,3100,1.0,mahasthangarh,sirajganj,september,Palace Hill,yes,Spice Restaurant,yes
4900,7000,2.0,tanguar haor,dhaka,august, houseboats,yes,Paradise Food Court,no
3000,3800,1.5,sitakunda eco park,pabna,september, radisson blu chattogram bay view,yes,Traditional Hotel and Restaurant,no
1500,3400,1.0,panam city sonargaon,dhala,september,Hill Resort,no,Taste Kabab House,yes
1500,3000,1.0,paharpur buddhist vihara,joypurhat ,june,Hotel View,yes,Spice Hotel and Restaurant,no
1800,3300,1.5,sitakunda eco park,cumilla,august,Hotel Hotel,yes,zafran restaurant,yes
3100,10000,7.5,lawachara national park,dhaka ,december,lawachara resort,no,Spice Kabab House,yes
5600,6900,4.0,coxs bazar,savar,march,shahi hotel,yes,palongki inani,no
5900,10000,4.0,saint martins island,chittagong ,march,hotel blue pearl,no,narikel jinjira restaurant,no
3800,7700,1.0,coxs bazar,dhaka ,june,Royal Resort,yes,kashbon restaurant,no
4400,6300,1.0,bichanakandi,bandorban ,may,Grand Hill,no,Traditional Food Court,yes
2800,4600,2.0,sitakunda eco park,chittagong ,september," the peninsula chittagong, hotel agrabad",yes,chui jhal beef restaurant,no
2200,3800,1.0,ratargul swamp forest,campus ,august,shah kamal hotel sylhet,yes,sinbad restaurant,yes
3800,5100,2.0,tanguar haor,brahmanbaria ,june,Palace Palace,yes,Palace Diner,no
1500,2400,1.0,panam city sonargaon,dhaka ,november,sonargaon hotel & resort,no,Taste Cafe,yes
5800,6500,4.0,coxs bazar,faridpur,april,hotel sea crown,yes,palongki inani,yes
4300,5200,2.0,tanguar haor,dhaka,june, houseboats,yes,Palace Diner,no
1500,2900,4.5,bandarban,sylhet,january, hillside resort,yes,Royal Restaurant,yes
2500,4300,1.0,sitakunda eco park,dhaka,december," the peninsula chittagong, hotel agrabad",yes,zafran restaurant,yes
5900,9800,2.5,sajek valley,dhaka,january, meghpunji resort,yes,maruti didi restaurant,yes
3400,5600,3.5,bandarban,chittagong ,september,Royal Hotel,yes,green prairie restaurant,yes
1500,2600,1.0,paharpur buddhist vihara,dhaka,june,Beach Palace,yes,Palace Cafe,no
5000,6900,1.0,bichanakandi,kishoreganj ,january,bichanakandi resort,yes,saffron restaurant,yes
1500,2200,1.0,mahasthangarh,sirajganj,september,Resort International,yes,casuarina,yes
2400,3400,4.0,jaflong, dhaka ,january,hotel noorjahan grand,yes,pach_bhai restaurant,yes
2200,3800,1.0,ratargul swamp forest,campus ,november,shah kamal hotel sylhet,yes,Paradise Food Court,yes
1500,2200,1.0,mahasthangarh,sirajganj,january,Grand Resort,yes,Traditional Hotel and Restaurant,yes
1500,3000,1.0,paharpur buddhist vihara,joypurhat ,june,hotel naz garden (bogura),yes,hotel al-razzaque & restaurant,yes
3000,4200,1.5,sitakunda eco park,dhaka,september,sitakunda eco resort,yes,chui jhal beef restaurant,no
1500,2500,1.0,paharpur buddhist vihara,dhaka,february,hotel touch & go,no,midas restaurant,yes
3800,5400,2.0,tanguar haor,brahmanbaria ,december, houseboats,yes,Paradise Food Court,no
2400,7600,1.0,kuakata, barishal,january,hotel graver inn international,yes,rajdhani hotel & restaurant,yes
1800,6700,6.0,bandarban,chottogram,november,Resort Hill,no,kalapata restaurant,yes
2900,8700,8.0,saint martins island,pabna,april,hotel blue pearl,yes,st. martin village restaurant,no
2600,7600,8.5,lawachara national park,dhaka ,august,grand sultan tea resort & golf,yes,kutum bari restaurant,no
2900,4200,4.5,kuakata,barishal,october,kuakata holiday inn,no,marine restaurant and kabab,no
1500,3300,1.0,paharpur buddhist vihara,chottogram,june,hotel naz garden (bogura),no,midas restaurant,no
1500,2200,1.0,mahasthangarh, gazipur ,january,Palace Hill,yes,Spice Restaurant,yes
1500,3500,1.0,mahasthangarh,savar,march,Resort International,yes,Spice Restaurant,yes
1500,3300,2.0,sitakunda eco park,dhaka,august, radisson blu chattogram bay view,yes,zafran restaurant,no
1500,3200,1.0,paharpur buddhist vihara,dhaka,june,Beach Palace,no,Palace Cafe,yes
5500,7100,2.0,kuakata,barishal ,september,hotel aman international,yes,hotel nibedita & restaurant,no
3800,9900,10.0,lawachara national park,dhaka ,december,lawachara resort,no,kutum bari restaurant,no
2300,4100,2.0,sitakunda eco park, barishal,september,sitakunda eco resort,yes,Traditional Hotel and Restaurant,no
2800,6400,9.0,saint martins island,faridpur ,february,hotel blue pearl,yes,jol torongo restora,no
2000,2900,5.0,lawachara national park, dhaka ,february,grand sultan tea resort & golf,yes,Spice Kabab House,yes
4800,6700,3.5,rangamati,dhaka,december,hotel green castle,no,chang pang restaurant,no
3200,10000,9.5,lawachara national park,faridpur ,september,Beach Palace,no,asian eco cafe & restaurant,yes
5100,7000,2.0,jaflong,dhaka,january,Sea View,yes,panshi restaurant,no
4300,6300,5.0,lawachara national park, gazipur ,june,Hill View,yes,kutum bari restaurant,yes
4600,6200,2.5,bandarban,dhaka,october,hill resort,yes,hill view restaurant,yes
4200,6200,1.5,rangamati,dhaka,december,parjatan holiday complex,yes,Taste Food Court,yes
1500,2100,1.0,mahasthangarh,sirajganj,january,Resort International,yes,Spice Restaurant,yes
3000,4400,1.0,sitakunda eco park,campus ,august,Golden Lodge,yes,chui jhal beef restaurant,no
1500,2200,1.0,panam city sonargaon,dhaka,december,Hill Garden,yes,Paradise Diner,yes
1600,2300,2.0,kuakata,dhaka,april,sikder resort & villas,no,Golden Hotel and Restaurant,yes
3300,5100,1.0,bandarban,chittagong,november,hill resort,no,hill view restaurant,yes
3900,8500,5.0,jaflong,dinajpur ,april, jaflong inn,yes,Family Cafe,yes
1500,3500,1.0,panam city sonargaon,dhaka ,march, (nearby in narayanganj/dhaka) pan pacific sonargaon,no,Taste Kabab House,yes
1500,2800,1.0,paharpur buddhist vihara,dhaka,june,Hotel View,no,Spice Hotel and Restaurant,no
2200,3400,1.0,ratargul swamp forest,laxmipur,november,shah kamal hotel sylhet,yes,sinbad restaurant,yes
5100,7000,2.0,tanguar haor,satkhira ,june, houseboats,yes,Taste Hotel and Restaurant,no
1500,3200,1.0,mahasthangarh,narsingdi ,january,Grand Resort,yes,Taste Kabab House,yes
1500,2300,1.0,panam city sonargaon,gazipur,september,Hill Garden,no,Taste Kabab House,no
1500,2000,1.0,paharpur buddhist vihara,joypurhat ,february,hotel naz garden (bogura),yes,Spice Hotel and Restaurant,no
2400,4600,2.5,kuakata,comilla ,december,hotel grand safa inn,yes,banorupa garden restaurant,yes
2200,3700,1.0,ratargul swamp forest,"jatrabari,dhaka",june,Royal View,yes,sinbad restaurant,yes
4100,6700,3.5,bandarban, dhaka,december,hotel green hill,no,hill's dine,yes
2600,5700,1.5,coxs bazar,brahmanbaria ,february,new tower hotel,yes,sea view restaurant,no
2200,5600,2.0,bichanakandi,kishoreganj ,may,bichanakandi resort,yes,Traditional Food Court,no
3900,5500,5.0,jaflong,sylhet,july,jaflong green resort,no,jaflong view restaurant,yes
7500,8900,1.0,bichanakandi,chittagong ,january,bichanakandi resort,no,Palace Diner,no
6400,7000,1.5,bichanakandi,kishoreganj ,august,Golden Inn,yes,Palace Food Court,yes
5200,6100,2.0,tanguar haor,brahmanbaria,march, haor bilash cottage,yes,kichukkhon,no
3800,7800,2.5,rangamati,dhaka,september,Hill Lodge,no,Taste Food Court,yes
5000,6800,1.0,saint martins island,barisal,march, coral view resort,yes,st. martin village restaurant,yes
2200,4200,1.0,ratargul swamp forest,"jatrabari,dhaka",december,Royal View,yes,Sea Food Court,yes
3400,4000,3.5,rangamati,campus ,october,Beach International,yes,cafe mangal,no
1700,5400,3.0,kuakata,dhaka,september,kuakata holiday inn,yes,marine restaurant and kabab,yes
1900,3400,1.0,jaflong,kushtia,january,jaflong eco resort,yes,sinbad restaurant,yes
1500,2400,1.0,mahasthangarh,sirajganj,september,Palace Hill,yes,casuarina,yes
3500,8600,2.0,kuakata,faridpur,october,somudra bari resort,yes,hotel nibedita & restaurant,yes
4700,8800,2.0,kuakata, dhaka,october,somudra bari resort,no,Palace Diner,yes
1500,4900,3.5,sajek valley,comilla ,december,Palace View,yes,maruti didi restaurant,yes
1500,3200,1.0,paharpur buddhist vihara,joypurhat ,june,hotel touch & go,no,midas restaurant,no
7500,8200,7.0,lawachara national park,sirajganj,december,grand sultan tea resort & golf,no,Spice Kabab House,no
1500,2700,1.0,mahasthangarh,tangail,january,Palace Hill,yes,Traditional Hotel and Restaurant,yes
7500,9100,2.5,coxs bazar,home,january,ratargul swamp forest,no,Golden Food Court,yes
4600,10000,11.0,saint martins island,dhaka,april,hotel prince heaven,no,Traditional Cafe,no
1500,3400,1.0,mahasthangarh,jashore ,january,Grand Resort,yes,Traditional Hotel and Restaurant,yes
1900,4100,5.0,jaflong,dinajpur ,november, jaflong inn,yes,panshi restaurant,yes
1500,8400,9.5,lawachara national park,dhaka ,november,Hill View,no,kutum bari restaurant,no
5600,6400,5.0,bandarban,chottogram,january,Grand Resort,no,Taste Restaurant,yes
4600,5600,4.5,kuakata,dhaka,september,hotel aman international,no,banorupa garden restaurant,yes
3800,5900,2.0,tanguar haor,dhaka,december,Palace Palace,yes,Palace Diner,no
2900,5400,3.0,rangamati,dhaka,october,Hotel Lodge,yes,gang sabarang,no
2300,3700,2.0,sitakunda eco park, barishal,may,Golden Lodge,yes,zafran restaurant,no
4800,10000,4.5,coxs bazar,narayanganj ,april,bangladesh parjatan corporation motel,yes,sea lamp beach cafe,yes
1500,2800,1.0,paharpur buddhist vihara,dhaka,october,hotel touch & go,no,Spice Hotel and Restaurant,no
5600,6200,5.0,saint martins island,noakhali ,july, hotel blue pearl,no,jol torongo restora,no
1500,2800,1.0,sitakunda eco park,dhaka,july,Hotel Hotel,yes,rajbari restaurant,yes
1700,3400,2.0,sitakunda eco park,faridpur ,june,Golden Lodge,yes,chui jhal beef restaurant,no
1500,3200,1.0,paharpur buddhist vihara,noakhali ,october,Hotel View,no,Palace Cafe,no
1500,2900,1.0,mahasthangarh,sirajganj,january,momo inn,yes,casuarina,yes
5600,8100,6.0,saint martins island,cox's bazar ,december,saint martins island resort,yes,Paradise Diner,no
3400,9100,5.0,lawachara national park,dhaka ,december,lawachara resort,yes,asian eco cafe & restaurant,no
6400,7000,1.0,saint martins island,"jatrabari,dhaka",july,saint martins island resort,yes,Paradise Diner,no
1500,7800,7.5,lawachara national park,kishoreganj ,november,Beach Palace,yes,kutum bari restaurant,no
1500,3300,1.0,kuakata,tangail,february,kuakata grand hotel & sea resort,yes,banorupa garden restaurant,yes
3800,6300,2.0,tanguar haor,tangail,june,Palace Palace,yes,Taste Hotel and Restaurant,no
1500,6000,4.0,bandarban,dhala,january,Resort Hill,no,tajingdong restora,yes
3400,5700,6.5,saint martins island,"rajbari,dhaka",january,coral view resort,yes,Traditional Cafe,yes
1900,2900,2.0,kuakata,barishal,november,hotel sea coral,yes,Palace Diner,no
1500,3100,1.0,panam city sonargaon,narsingdi ,december,Hill Resort,no,pan pacific sonargaon dhaka,yes
2300,3400,3.0,kuakata,barisal,january,hotel sea queen resort,yes,Palace Diner,yes
5900,6700,5.0,lawachara national park,cox's bazar,july,grand sultan tea resort & golf,no,kutum bari restaurant,no
1500,3100,1.0,panam city sonargaon,dhaka ,december, (nearby in narayanganj/dhaka) pan pacific sonargaon,no,sonargaon restaurant,yes
3400,4900,2.5,bichanakandi,dhaka,november,bichanakandi resort,yes,saffron restaurant,no
1500,3400,1.0,paharpur buddhist vihara,joypurhat ,june,Hotel View,yes,midas restaurant,no
2300,2900,4.0,kuakata,thakurgaon,october,hotel sea coral,yes,sea palace restaurant,yes
1500,2800,1.0,panam city sonargaon,dhaka ,july,Hill Garden,no,Taste Kabab House,yes
3500,8100,2.0,coxs bazar,dhaka ,july,the waves cox's bazar,yes,sea lamp beach cafe,yes
4600,9200,2.5,sajek valley,barishal,november,sajek tourist complex,no,chhimbal restaurant,yes
5800,7700,3.0,bichanakandi,kishoreganj ,january,Grand Hill,yes,Paradise Restaurant,no
7500,9000,5.0,lawachara national park,dhaka ,november,Hill View,yes,kutum bari restaurant,no
